Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.81.242-172.16.83.210-7680-55291-6,172.16.83.210,55291,172.16.81.242,7680,6,13/12/2021 02:17:56 pm,3042,3,5,90.0,90.0,75.0,0.0,30.0,39.68626966596886,75.0,0.0,18.0,32.5192250830182,59171.597633136094,2629.8487836949375,434.5714285714286,495.91761988689785,1275.0,1.0,1734.0,867.0,1224.7089450151004,1733.0,1.0,3042.0,760.5,688.2095126728003,1409.0,124.0,0,0,0,0,60,124,986.1932938856016,1643.655489809336,0.0,75.0,20.0,31.81980515339464,1012.5,0,1,0,0,0,0,0,0,1.0,22.5,30.0,18.0,0,0,0,0,0,0,3,90,5,90,-1,1026,2,0,0,0,0,0,0,0,0,0,No Label
172.16.81.242-172.16.83.210-7680-55291-6,172.16.83.210,55291,172.16.81.242,7680,6,13/12/2021 02:17:56 pm,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,No Label
172.16.81.242-172.16.83.82-7680-54994-6,172.16.83.82,54994,172.16.81.242,7680,6,13/12/2021 02:18:03 pm,2473,3,5,90.0,90.0,75.0,0.0,30.0,39.68626966596886,75.0,0.0,18.0,32.5192250830182,72786.08976951071,3234.9373230893652,353.2857142857143,361.363028124403,1034.0,20.0,1548.0,774.0,637.8103166302659,1225.0,323.0,2473.0,618.25,563.6088330275411,1156.0,126.0,0,0,0,0,60,124,1213.101496158512,2021.8358269308533,0.0,75.0,20.0,31.81980515339464,1012.5,0,1,0,0,0,0,0,0,1.0,22.5,30.0,18.0,0,0,0,0,0,0,3,90,5,90,-1,8212,2,0,0,0,0,0,0,0,0,0,No Label
172.16.81.242-172.16.83.82-7680-54994-6,172.16.83.82,54994,172.16.81.242,7680,6,13/12/2021 02:18:03 pm,448,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4464.285714285715,448.0,0.0,448.0,448.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2232.1428571428573,2232.1428571428573,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,4105,0,0,0,0,0,0,0,0,0,0,No Label
172.16.81.242-52.242.101.226-51930-443-6,172.16.81.242,51930,52.242.101.226,443,6,13/12/2021 02:18:11 pm,1074253,11,13,762.0,2969.0,268.0,0.0,69.27272727272728,98.76040796705016,1460.0,0.0,228.3846153846154,458.48346725218977,3473.111082771005,22.34110586612279,46706.65217391305,80613.93784046432,260358.0,4.0,813816.0,81381.6,117989.06600114361,263928.0,62.0,1060640.0,88386.66666666666,100007.24837579008,260358.0,4.0,0,0,0,0,232,284,10.239673521972945,12.101432344149844,0.0,1460.0,149.24,341.2029308197688,116419.43999999996,0,1,0,0,0,0,0,0,1.0,155.45833333333334,69.27272727272727,228.3846153846154,0,0,0,0,0,0,11,762,13,2969,-1,2050,5,0,0,0,0,0,0,0,0,0,No Label
172.16.81.242-20.54.89.15-51931-443-6,172.16.81.242,51931,20.54.89.15,443,6,13/12/2021 02:18:12 pm,784000,10,12,602.0,2772.0,216.0,0.0,60.199999999999996,78.17473305927491,1460.0,0.0,231.00000000000003,478.35456610038847,4303.571428571428,28.06122448979592,37333.333333333336,64691.87671673572,192994.0,4.0,590939.0,65659.88888888889,96977.61773270732,198496.0,16.0,782797.0,71163.36363636363,76431.37666858124,193055.0,4.0,0,0,0,0,200,264,12.755102040816325,15.306122448979592,0.0,1460.0,146.6956521739131,353.78966976832805,125167.13043478262,0,1,0,0,0,0,0,0,1.0,153.36363636363637,60.2,231.0,0,0,0,0,0,0,10,602,12,2772,-1,2050,5,0,0,0,0,0,0,0,0,0,No Label
172.16.81.242-20.54.89.15-51931-443-6,20.54.89.15,443,172.16.81.242,51931,6,13/12/2021 02:18:13 pm,149878,1,2,0.0,51.0,0.0,0.0,0.0,0.0,51.0,0.0,25.5,36.062445840513924,340.2767584301899,20.016279907658227,74939.0,105920.3531810577,149836.0,42.0,0,0,0,0,0,42.0,42.0,0.0,42.0,42.0,0,1,0,0,20,52,6.672093302552742,13.344186605105484,0.0,51.0,25.5,29.444863728670914,867.0,0,0,0,1,1,0,0,0,2.0,34.0,0.0,25.5,0,0,0,0,0,0,1,0,2,51,-1,1024,0,0,0,0,0,0,0,0,0,0,No Label
172.16.81.242-20.189.173.10-51932-443-6,172.16.81.242,51932,20.189.173.10,443,6,13/12/2021 02:18:12 pm,1134991,7,12,2111.0,4860.0,969.0,0.0,301.57142857142856,401.2488243566815,1460.0,0.0,404.99999999999994,646.334700797153,6141.898922546522,16.740220847566192,63055.055555555555,96329.69272334051,273831.0,1.0,861039.0,143506.5,156553.67651607547,306832.0,107.0,1104177.0,100379.72727272726,108963.27402578438,274819.0,1.0,0,0,0,0,140,264,6.167449785945439,10.572771061620752,0.0,1460.0,348.54999999999995,549.469263064488,301916.47105263156,0,1,0,0,0,0,0,0,1.0,366.89473684210526,301.57142857142856,405.0,0,0,0,0,0,0,7,2111,12,4860,-1,2053,4,0,0,0,0,0,0,0,0,0,No Label
172.16.81.242-52.242.101.226-51933-443-6,172.16.81.242,51933,52.242.101.226,443,6,13/12/2021 02:18:13 pm,1043257,11,13,584.0,2870.0,211.0,0.0,53.09090909090909,74.56065255274332,1460.0,0.0,220.76923076923075,457.7211949513506,3310.785357778572,23.004877992671027,45358.99999999999,82013.13927436482,257997.0,1.0,785152.0,78515.2,121828.96331040862,263616.0,23.0,1042288.0,86857.33333333331,97996.54592459631,257997.0,1.0,0,0,0,0,232,284,10.543902413307555,12.460975579363472,0.0,1460.0,138.16,338.9386227622931,114879.39000000003,0,1,0,0,0,0,0,0,1.0,143.91666666666666,53.09090909090909,220.76923076923077,0,0,0,0,0,0,11,584,13,2870,-1,2050,5,0,0,0,0,0,0,0,0,0,No Label
172.16.81.242-52.242.101.226-51933-443-6,52.242.101.226,443,172.16.81.242,51933,6,13/12/2021 02:18:14 pm,5686,1,2,0.0,51.0,0.0,0.0,0.0,0.0,51.0,0.0,25.5,36.062445840513924,8969.398522687303,527.6116778051354,2843.0,3955.5553339575467,5640.0,46.0,0,0,0,0,0,46.0,46.0,0.0,46.0,46.0,0,1,0,0,20,52,175.87055926837846,351.7411185367569,0.0,51.0,25.5,29.444863728670914,867.0,0,0,0,1,1,0,0,0,2.0,34.0,0.0,25.5,0,0,0,0,0,0,1,0,2,51,-1,1024,0,0,0,0,0,0,0,0,0,0,No Label
